SampleID,classe originale,classe finale,Action,Class Change?,NEW CLASS
Feci_Vecpac-WT_3674_28022024,VECPAC_CTRL,VECPAC_CTRL,Keep,FALSE,VECPAC_CTRL
Feci_Vecpac-WT_3675_28022024,VECPAC_CTRL,VECPAC_CTRL,Keep,FALSE,VECPAC_CTRL
Feci_Vecpac-WT_3677_28022024,VECPAC_CTRL,VECPAC_CTRL,Keep,FALSE,VECPAC_CTRL
Feci_Vecpac-WT_3678_28022024,VECPAC_CTRL,VECPAC_CTRL,Keep,FALSE,VECPAC_CTRL
Feci_Vecpac-WT_3679_29022024,VECPAC_CTRL,VECPAC_CTRL,Keep,FALSE,VECPAC_CTRL
Feci_Vecpac-WT_3680_29022024,VECPAC_CTRL,VECPAC_CTRL,Keep,FALSE,VECPAC_CTRL
Feci_Vecpac-WT_3681_29022024,VECPAC_CTRL,VECPAC_CTRL,Keep,FALSE,VECPAC_CTRL
Feci_Vecpac-WT_3687_29022024,VECPAC_CTRL,VECPAC_CTRL,Keep,FALSE,VECPAC_CTRL
Feci_Vecpac-WT_3688_29022024,VECPAC_CTRL,VECPAC_CTRL,Keep,FALSE,VECPAC_CTRL
Feci_Vecpac-WT_3336_29022024,VECPAC_CTRL,No VECPAC_CTRL,Drop,TRUE,
Feci_Vecpac-WT_3371REP_01032024,VECPAC_CTRL,No VECPAC_CTRL,Drop,TRUE,
,,,,FALSE,
,,,,FALSE,
,,,,FALSE,
,,,,FALSE,
,,,,FALSE,
,,,,FALSE,
,,,,FALSE,
,,,,FALSE,
,,,,FALSE,
,,,,FALSE,
122_110322,,,,FALSE,
126_110322,,,,FALSE,
70_feci_09032022,,,,FALSE,
96_feci_100322,,,,FALSE,
97_rep110322,,,,FALSE,
Feci_DSS-T0_896_27022024,,,,FALSE,
Feci_DSS-T0_897_27022024,,,,FALSE,
Feci_DSS-T0_T0.5_27022024,,,,FALSE,
Feci_DSS-T0_T0.6_27022024,,,,FALSE,
Feci_DSS-T0_T0.7_27022024,,,,FALSE,
Feci_DSS-T0_T0.8_27022024,,,,FALSE,
Feci_DSS-T1_111_27022024,,,,FALSE,
Feci_DSS-T1_B901_27022024,,,,FALSE,
Feci_DSS-T1_T1.5_27022024,,,,FALSE,
Feci_DSS-T1_T1.6_27022024,,,,FALSE,
Feci_DSS-T1_T1.7_27022024,,,,FALSE,
Feci_DSS-T1_T1.8_27022024,,,,FALSE,
Feci_DSS-T3_906_28022024,,,,FALSE,
Feci_DSS-T3_T3.7_28022024,,,,FALSE,
Feci_DSS-T3_T3.8_28022024,,,,FALSE,
Feci_DSS-T5_B912_28022024,,,,FALSE,
Feci_DSS-T5_T5.6_28022024,,,,FALSE,
Feci_DSS-T5_T5.7_28022024,,,,FALSE,
Feci_LPS_2.5H_946_26022024,,,,FALSE,
Feci_LPS_2.5H_949_26022024,,,,FALSE,
Feci_LPS_24H_957_27022024,,,,FALSE,
Feci_LPS_24H_959_26022024,,,,FALSE,
Feci_LPS_24H_961_27022024,,,,FALSE,
Feci_LPS_24H_962_27022024,,,,FALSE,
Feci_LPS_24H_963_27022024,,,,FALSE,
Feci_LPS_CTRL_934_23022024,,,,FALSE,
Feci_LPS_CTRL_936_23022024,,,,FALSE,
Feci_LPS_CTRL_938_26022024,,,,FALSE,
Feci_LPS-CTRL_941REP_01032024,,,,FALSE,
Feci_Vecpac-CRE_3305_01032024,,,,FALSE,
Feci_Vecpac-CRE_3356_01032024,,,,FALSE,
Feci_Vecpac-CRE_3370_01032024,,,,FALSE,
Feci_Vecpac-CRE_3689_29022024,,,,FALSE,
Feci_Vecpac-WT_3336_29022024,,,,FALSE,
